timestamp,battery,current,irradiance,panel_tilt,power,temperature,voltage
2025-05-06T21:33:43.521000,91.3,2.3,409.54,42.65,29.15,34.73,11.85
2025-05-06T21:33:47.908000,,4.61,,,52.02,,11.37
2025-05-06T21:33:47.911000,,,908.4,,,,
2025-05-06T21:33:47.912000,32.03,,,,,20.15,
2025-05-06T21:33:47.913000,,,,1.89,,,
2025-05-06T21:33:52.916000,,2.94,,,,,12.36
2025-05-06T21:33:52.919000,,,,,36.15,,
2025-05-06T21:33:52.920000,,,950.95,,,,
2025-05-06T21:33:52.921000,,,,,,39.74,
2025-05-06T21:33:52.923000,58.19,,,,,,
2025-05-06T21:33:52.932000,,,,57.15,,,
2025-05-06T21:33:57.929000,,4.57,,,,,11.48
2025-05-06T21:33:57.930000,,,,,52.42,,
2025-05-06T21:33:57.931000,,,264.59,,,,
2025-05-06T21:33:57.932000,28.67,,,,,21.79,
2025-05-06T21:33:57.933000,,,,32.94,,,
2025-05-06T21:34:02.936000,,3.47,,,42.17,,13.55
2025-05-06T21:34:02.937000,,,464.02,,,,
2025-05-06T21:34:02.938000,69.83,,,,,24.23,
2025-05-06T21:34:02.939000,,,,2.58,,,
2025-05-06T21:34:07.941000,,4.76,,,,,13.14
2025-05-06T21:34:07.942000,,,,,65.85,,
2025-05-06T21:34:07.943000,,,732.0,,,33.62,
2025-05-06T21:34:07.944000,21.96,,,34.01,,,
2025-05-06T21:34:12.942000,,3.45,,,,,13.83
2025-05-06T21:34:12.943000,,,225.78,,46.52,,
2025-05-06T21:34:12.944000,,,,,,36.94,
2025-05-06T21:34:12.945000,68.34,,,,,,
2025-05-06T21:34:12.947000,,,,9.67,,,
2025-05-06T21:34:17.949000,,2.74,,,37.26,,11.85
2025-05-06T21:34:17.950000,,,739.25,,,29.89,
2025-05-06T21:34:17.951000,53.86,,,35.94,,,
2025-05-06T21:34:22.954000,,3.57,,,42.05,,10.53
2025-05-06T21:34:22.955000,,,432.4,,,,
2025-05-06T21:34:22.956000,,,,,,39.53,
2025-05-06T21:34:22.957000,30.07,,,52.55,,,
2025-05-06T21:34:27.959000,,4.09,934.45,,45.69,,12.08
2025-05-06T21:34:27.960000,85.98,,,69.59,,37.11,
2025-05-06T21:34:32.964000,,2.67,,,,,12.37
2025-05-06T21:34:32.965000,,,,,33.48,,
2025-05-06T21:34:32.966000,,,251.51,,,,
2025-05-06T21:34:32.968000,,,,,,39.07,
2025-05-06T21:34:32.982000,46.72,,,,,,
2025-05-06T21:34:32.994000,,,,76.79,,,
2025-05-06T21:34:37.997000,,4.33,353.43,,52.27,,11.07
2025-05-06T21:34:37.998000,88.59,,,,,39.24,
2025-05-06T21:34:37.999000,,,,65.04,,,
2025-05-06T21:34:43.001000,,3.49,,,48.78,,12.78
2025-05-06T21:34:43.003000,,,962.48,,,,
2025-05-06T21:34:43.005000,,,,,,22.1,
2025-05-06T21:34:43.006000,81.41,,,,,,
2025-05-06T21:34:43.032000,,,,61.08,,,
2025-05-06T21:34:48.027000,,2.49,652.66,,26.89,,11.82
2025-05-06T21:34:48.029000,72.04,,,,,32.08,
2025-05-06T21:34:48.030000,,,,13.27,,,
2025-05-06T21:34:53.038000,,,,,,,13.77
2025-05-06T21:34:53.039000,,3.49,,,,,
2025-05-06T21:34:53.040000,,,,,46.13,,
2025-05-06T21:34:53.043000,,,463.68,,,,
2025-05-06T21:34:53.045000,,,,,,29.56,
2025-05-06T21:34:53.049000,58.98,,,78.47,,,
2025-05-06T21:34:58.051000,,3.12,,,,,14.32
2025-05-06T21:34:58.052000,,,327.9,,39.68,,
2025-05-06T21:34:58.053000,,,,,,37.18,
2025-05-06T21:34:58.054000,56.5,,,33.05,,,
2025-05-06T21:35:03.057000,,3.95,,,,,13.74
2025-05-06T21:35:03.058000,,,,,50.9,,
2025-05-06T21:35:03.061000,,,765.76,,,,
2025-05-06T21:35:03.063000,,,,,,21.22,
2025-05-06T21:35:03.064000,44.65,,,,,,
2025-05-06T21:35:03.065000,,,,53.25,,,
2025-05-06T21:35:08.068000,70.27,,,,37.03,33.55,10.97
2025-05-06T21:35:08.069000,,3.53,779.99,38.5,,,
2025-05-06T21:35:13.076000,,2.02,,,,,12.53
2025-05-06T21:35:13.080000,,,357.24,,23.79,,
2025-05-06T21:35:13.087000,87.21,,,,,26.5,
2025-05-06T21:35:13.091000,,,,67.45,,,
2025-05-06T21:35:18.093000,,4.87,,,,,14.23
2025-05-06T21:35:18.094000,,,,,72.83,,
2025-05-06T21:35:18.095000,,,899.01,,,,
2025-05-06T21:35:18.096000,,,,,,39.92,
2025-05-06T21:35:18.097000,39.27,,,,,,
2025-05-06T21:35:18.098000,,,,61.46,,,
2025-05-06T21:35:23.101000,,2.37,247.1,,31.09,,14.42
2025-05-06T21:35:23.103000,,,,,,38.9,
2025-05-06T21:35:23.104000,,,,10.39,,,
2025-05-06T21:35:23.106000,98.7,,,,,,
2025-05-06T21:35:28.106000,,4.93,,,67.03,,13.01
2025-05-06T21:35:28.107000,,,960.53,,,23.44,
2025-05-06T21:35:28.108000,70.8,,,60.95,,,
2025-05-06T21:35:33.111000,,4.98,880.77,,65.17,,13.28
2025-05-06T21:35:33.112000,,,,,,31.34,
2025-05-06T21:35:33.114000,69.36,,,,,,
2025-05-06T21:35:33.115000,,,,79.09,,,
2025-05-06T21:35:38.126000,,4.21,400.66,,42.6,,10.54
2025-05-06T21:35:38.129000,28.57,,,,,38.43,
2025-05-06T21:35:38.130000,,,,64.07,,,
2025-05-06T21:35:43.130000,,3.97,,,,,12.78
2025-05-06T21:35:43.131000,,,,,53.49,,
2025-05-06T21:35:43.133000,,,842.42,,,33.57,
2025-05-06T21:35:43.134000,78.83,,,,,,
2025-05-06T21:35:43.137000,,,,34.36,,,
2025-05-06T21:35:48.142000,97.15,2.38,911.29,,34.96,24.95,13.63
2025-05-06T21:35:48.143000,,,,32.32,,,
2025-05-06T21:35:53.146000,,2.16,,,34.83,,13.89
2025-05-06T21:35:53.147000,,,719.74,,,,
2025-05-06T21:35:53.148000,88.64,,,35.35,,27.85,
2025-05-06T21:35:58.151000,,4.55,,,49.64,,11.66
2025-05-06T21:35:58.152000,,,843.75,,,31.7,
2025-05-06T21:35:58.153000,90.38,,,0.01,,,
2025-05-06T21:36:03.156000,,4.23,375.57,,64.09,,14.0
2025-05-06T21:36:03.157000,,,,,,20.45,
2025-05-06T21:36:03.159000,59.42,,,49.75,,,
2025-05-06T21:36:08.161000,,5.0,,,59.62,,12.68
2025-05-06T21:36:08.162000,,,867.87,,,36.02,
2025-05-06T21:36:08.163000,90.29,,,,,,
2025-05-06T21:36:08.164000,,,,4.81,,,
2025-05-06T21:36:13.164000,,4.11,,,,,10.91
2025-05-06T21:36:13.165000,,,592.84,,49.63,,
2025-05-06T21:36:13.166000,94.79,,,,,22.14,
2025-05-06T21:36:13.167000,,,,0.04,,,
2025-05-06T21:36:18.169000,,,,,,,11.5
2025-05-06T21:36:18.170000,,3.84,,,40.6,,
2025-05-06T21:36:18.171000,,,217.73,,,20.04,
2025-05-06T21:36:18.173000,76.29,,,,,,
2025-05-06T21:36:18.174000,,,,15.51,,,
2025-05-06T21:36:23.176000,,2.76,,,,,10.67
2025-05-06T21:36:23.177000,,,,,30.59,,
2025-05-06T21:36:23.178000,,,493.33,,,28.05,
2025-05-06T21:36:23.179000,83.33,,,,,,
2025-05-06T21:36:23.180000,,,,45.56,,,
2025-05-06T21:36:28.182000,,4.98,,,66.09,,13.66
2025-05-06T21:36:28.183000,,,293.55,,,,
2025-05-06T21:36:28.184000,74.14,,,,,24.49,
2025-05-06T21:36:28.186000,,,,85.64,,,
2025-05-06T21:36:33.188000,,4.59,,,53.12,,11.38
2025-05-06T21:36:33.189000,,,949.74,,,,
2025-05-06T21:36:33.190000,35.58,,,,,20.68,
2025-05-06T21:36:33.192000,,,,26.72,,,
2025-05-06T21:36:38.193000,,3.4,,,42.8,,12.86
2025-05-06T21:36:38.194000,,,832.36,,,,
2025-05-06T21:36:38.196000,,,,,,21.18,
2025-05-06T21:36:38.197000,92.63,,,57.96,,,
2025-05-06T21:36:43.201000,,4.87,462.57,,72.3,,14.09
2025-05-06T21:36:43.202000,22.51,,,82.39,,20.97,
2025-05-06T21:36:48.205000,,2.55,,,,,11.0
2025-05-06T21:36:48.208000,,,,,28.41,,
2025-05-06T21:36:48.210000,,,444.36,,,,
2025-05-06T21:36:48.213000,,,,,,36.4,
2025-05-06T21:36:48.214000,94.72,,,,,,
2025-05-06T21:36:48.218000,,,,65.17,,,
2025-05-06T21:36:53.224000,,3.97,615.56,,55.0,,14.41
2025-05-06T21:36:53.225000,30.1,,,,,27.94,
2025-05-06T21:36:53.226000,,,,24.71,,,
2025-05-06T21:36:58.227000,,3.92,,,,,11.91
2025-05-06T21:36:58.228000,,,,,44.18,,
2025-05-06T21:36:58.229000,,,684.24,,,38.83,
2025-05-06T21:36:58.230000,40.15,,,21.44,,,
2025-05-06T21:37:03.233000,,3.19,,,30.35,,10.96
2025-05-06T21:37:03.234000,,,327.09,,,23.45,
2025-05-06T21:37:03.235000,38.55,,,27.37,,,
2025-05-06T21:37:08.237000,,3.99,312.99,,45.1,,11.28
2025-05-06T21:37:08.238000,,,,,,28.27,
2025-05-06T21:37:08.239000,60.09,,,,,,
2025-05-06T21:37:08.240000,,,,67.2,,,
2025-05-06T21:37:13.241000,,,,,,,11.49
2025-05-06T21:37:13.246000,35.43,2.71,821.72,88.79,26.35,25.83,
2025-05-06T21:37:18.244000,,4.76,,,57.35,,12.9
2025-05-06T21:37:18.245000,21.82,,511.45,,,25.34,
2025-05-06T21:37:18.247000,,,,36.38,,,
2025-05-06T21:37:23.249000,,,,,,,12.31
2025-05-06T21:37:23.250000,,3.26,,,42.38,,
